Title,Author,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
The Color Purple,"Walker, Alice",,,,Iowa,Marshalltown Community School District,September 2023,Banned,Administration
Native Son,"Wright, Richard",,,,Iowa,Marshalltown Community School District,September 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Iowa,Martensdale-St. Marys Community School District,October 2023,Banned pending investigation,Administration
Thirteen Reasons Why,"Asher, Jay",,,,Iowa,Martensdale-St. Marys Community School District,October 2023,Banned pending investigation,Administration
The Mighty Heart of Sunny St. James,"Blake, Ashley Herring",,,,Iowa,Martensdale-St. Marys Community School District,October 2023,Banned pending investigation,Administration
The Kite Runner,"Hosseini, Khaled",,,,Iowa,Martensdale-St. Marys Community School District,October 2023,Banned pending investigation,Administration
Almost Perfect,"Katcher, Brian",,,,Iowa,Martensdale-St. Marys Community School District,October 2023,Banned pending investigation,Administration
There's a Hair In My Dirt: A Worm's Story,"Larson, Gary",,,,Iowa,Martensdale-St. Marys Community School District,October 2023,Banned by restriction,Administration
Beloved,"Morrison, Toni",,,,Iowa,Martensdale-St. Marys Community School District,October 2023,Banned,Administration
The Best at It,"Pancholy, Maulik",,,,Iowa,Martensdale-St. Marys Community School District,October 2023,Banned pending investigation,Administration
Nineteen Minutes,"Picoult, Jodi",,,,Iowa,Martensdale-St. Marys Community School District,October 2023,Banned,Administration
Living Dead Girl,"Scott, Elizabeth",,,,Iowa,Martensdale-St. Marys Community School District,October 2023,Banned,Administration
Lucky (AS),"Sebold, Alice",,,,Iowa,Martensdale-St. Marys Community School District,October 2023,Banned,Administration
Drama: A Graphic Novel,"Telgemeier, Raina",,,,Iowa,Martensdale-St. Marys Community School District,October 2023,Banned,Administration
The Hate U Give,"Thomas, Angie",,,,Iowa,Martensdale-St. Marys Community School District,October 2023,Banned pending investigation,Administration
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,Iowa,Martensdale-St. Marys Community School District,October 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Iowa,Mason City Community Schools,October 2023,Banned pending investigation,Administration
Feed,"Anderson, M. T.",,,,Iowa,Mason City Community Schools,October 2023,Banned,Administration
I Know Why The Caged Bird Sings,"Angelou, Maya",,,,Iowa,Mason City Community Schools,October 2023,Banned pending investigation,Administration
Thirteen Reasons Why,"Asher, Jay",,,,Iowa,Mason City Community Schools,October 2023,Banned,Administration
The Handmaid's Tale,"Atwood, Margaret",,,,Iowa,Mason City Community Schools,October 2023,Banned,Administration
"Friday Night Lights: A Town, a Team, and a Dream","Bissinger, H.G.",,,,Iowa,Mason City Community Schools,October 2023,Banned pending investigation,Administration
An American Tragedy,"Dreiser, Theodore",,,,Iowa,Mason City Community Schools,October 2023,Banned,Administration
Killing Mr. Griffin,"Duncan, Lois",,,,Iowa,Mason City Community Schools,October 2023,Banned pending investigation,Administration
